dates,prices
2021-01-18,79.585
2021-01-19,79.64
2021-01-20,80.43
2021-01-21,80.27
2021-01-22,80.16
2021-01-25,79.87
2021-01-26,79.935
2021-01-27,78.77
2021-01-28,78.78
2021-01-29,77.47
2021-02-01,78.33
2021-02-02,79.815
2021-02-03,79.865
2021-02-04,80.15
2021-02-05,80.365
2021-02-08,80.8
2021-02-09,80.7
2021-02-10,80.425
2021-02-11,81.11
2021-02-12,81.07
2021-02-15,81.505
2021-02-16,81.14
2021-02-17,80.81
2021-02-18,79.835
2021-02-19,80.22
2021-02-22,79.12
2021-02-23,78.3
2021-02-24,78.835
2021-02-25,78.515
2021-02-26,77.865
2021-03-01,79.215
2021-03-02,78.9
2021-03-03,78.665
2021-03-04,77.93
2021-03-05,77.24
2021-03-08,79.01
2021-03-09,79.185
2021-03-10,79.32
2021-03-11,80.01
2021-03-12,79.785
2021-03-15,80.13
2021-03-16,80.65
2021-03-17,80.295
2021-03-18,80.14
2021-03-19,79.81
2021-03-22,80.21
2021-03-23,80.32
2021-03-24,80.24
2021-03-25,79.54
2021-03-26,80.08
2021-03-29,80.21
2021-03-30,80.75
2021-03-31,80.67
2021-04-01,81.06
2021-04-06,82.11
2021-04-07,82.34
2021-04-08,83.045
2021-04-09,83.1
2021-04-12,83.115
2021-04-13,83.41
2021-04-14,83.47
2021-04-15,83.835
2021-04-16,83.98
2021-04-19,82.85
2021-04-20,82.06
2021-04-21,82.66
2021-04-22,83.61
2021-04-23,83.74
2021-04-26,83.835
2021-04-27,83.51
2021-04-28,83.71
2021-04-29,83.455
2021-04-30,83.75
2021-05-04,82.475
2021-05-05,83.2
2021-05-06,83.33
2021-05-07,84.005
2021-05-10,83.01
2021-05-11,81.46
2021-05-12,80.7
2021-05-13,81.13
2021-05-14,81.92
2021-05-17,81.545
2021-05-18,81.725
2021-05-19,80.67
2021-05-20,81.9
2021-05-21,81.94
