dates,prices
2021-01-27,52.8125
2021-01-28,52.5
2021-01-29,51.73
2021-02-01,52.75
2021-02-02,53.9675
2021-02-03,54.155
2021-02-04,53.97
2021-02-05,54.1925
2021-02-08,54.485
2021-02-09,54.6525
2021-02-10,54.9
2021-02-11,55.63
2021-02-12,55.5
2021-02-15,55.745
2021-02-16,55.36
2021-02-17,55.405
2021-02-18,54.165
2021-02-19,54.7475
2021-02-22,53.05
2021-02-23,52.56
2021-02-24,52.375
2021-02-25,52.225
2021-02-26,51.3125
2021-03-01,52.6075
2021-03-02,52.05
2021-03-03,52.3325
2021-03-04,51.8275
2021-03-05,51.135
2021-03-08,50.9725
2021-03-09,51.3125
2021-03-10,51.105
2021-03-11,52.425
2021-03-12,51.5825
2021-03-15,51.5225
2021-03-16,51.975
2021-03-17,51.495
2021-03-18,51.4075
2021-03-19,51.5525
2021-03-22,51.6075
2021-03-23,51.3875
2021-03-24,50.5275
2021-03-25,50.22
2021-03-26,50.3625
2021-03-29,50.7525
2021-03-30,51.35
2021-03-31,51.185
2021-04-01,51.6525
2021-04-06,51.9325
2021-04-07,51.4125
2021-04-08,52.035
2021-04-09,51.47
2021-04-12,51.0275
2021-04-13,51.255
2021-04-14,51.4825
2021-04-15,51.6825
2021-04-16,51.8875
2021-04-19,51.08
2021-04-20,50.765
2021-04-21,51.02
2021-04-22,51.655
2021-04-23,52.0725
